intent,subject,question,answer
general,general,i think stamps used to cost a penny.,that was a long time ago.
general,general,that was a long time ago.,it was before i was born.
general,general,it was before i was born.,now a stamp is 42 cents.
general,general,now a stamp is 42 cents.,but in may it will be 44 cents.
general,general,but in may it will be 44 cents.,have you ever lost a letter in the mail?
general,general,have you ever lost a letter in the mail?,"no, i haven't."
general,general,"no, i haven't.",neither have i.
general,general,neither have i.,"so, they do a good job for the money."
general,general,"so, they do a good job for the money.","yes, they do."
general,general,"yes, they do.",maybe we shouldn't complain.
general,general,a button came off my shirt.,what are you going to do?
general,general,what are you going to do?,"first, i have to find the button."
general,general,"first, i have to find the button.",where did you lose it?
general,general,where did you lose it?,i have no idea.
general,general,i have no idea.,a button is hard to find. did you look in your pant cuffs?
general,general,a button is hard to find. did you look in your pant cuffs?,that's a good idea.
general,general,that's a good idea.,i found a button in my pant cuffs one time.
general,general,i found a button in my pant cuffs one time.,"let me look. no, it's not there."
general,general,"let me look. no, it's not there.",many shirts come with an extra button.
general,general,many shirts come with an extra button.,you're right. this one does have an extra button.
general,general,you're right. this one does have an extra button.,now all you have to do is sew it on.
general,general,i have to go to the bathroom.,you drink too much coffee.
general,general,you drink too much coffee.,but i love coffee.
general,general,but i love coffee.,"well, it's your life."
general,general,"well, it's your life.",you eat too much chocolate.
general,general,you eat too much chocolate.,i don't think so.
general,general,i don't think so.,have you looked in the mirror?
general,general,have you looked in the mirror?,do you think i'm getting fat?
general,general,do you think i'm getting fat?,i didn't say that.
general,general,i didn't say that.,what did you say?
general,general,what did you say?,i said i have to go to the bathroom.
general,general,i said i have to go to the bathroom.,that's what i thought you said.
general,general,did you do the laundry?,"yes, i did."
general,general,"yes, i did.",what did you wash?
general,general,what did you wash?,i washed the sheets and towels.
general,general,i washed the sheets and towels.,what about the pillowcases?
general,general,what about the pillowcases?,"yes, i took them off the pillows and washed them."
general,general,"yes, i took them off the pillows and washed them.",did you dry everything in the dryer?
general,general,did you dry everything in the dryer?,"yes, i dried everything in the dryer."
general,general,"yes, i dried everything in the dryer.",then what did you do?
general,general,then what did you do?,i folded all the towels.
general,general,i folded all the towels.,did you put the sheets on the beds?
general,general,did you put the sheets on the beds?,"yes, and i put the pillowcases on the pillows."
general,general,do you listen to the radio?,i listen day and night.
general,general,i listen day and night.,what do you listen to?
general,general,what do you listen to?,mostly talk radio.
general,general,mostly talk radio.,what's that?
general,general,what's that?,people talk about current events.
general,general,people talk about current events.,what do they say?
general,general,what do they say?,they say they want change.
general,general,they say they want change.,what kind of change?
general,general,what kind of change?,they want tax cuts.
general,general,they want tax cuts.,why do they want tax cuts?
general,general,why do they want tax cuts?,because tax cuts will save them money.
general,general,"mom, i'm hungry.",look in the fridge.
general,general,look in the fridge.,i'm looking. there's nothing to eat.
general,general,i'm looking. there's nothing to eat.,are you sure?
general,general,are you sure?,it's almost empty.
general,general,it's almost empty.,i went to the market yesterday.
general,general,i went to the market yesterday.,i don't see anything.
general,general,i don't see anything.,i bought lots of oranges and apples.
general,general,i bought lots of oranges and apples.,i don't want fruit. i want something tasty.
general,general,i don't want fruit. i want something tasty.,eat the fruit. it's good for you.
general,general,eat the fruit. it's good for you.,"next time you go to the market, let me go with you."
general,general,"next time you go to the market, let me go with you.","no, thank you. all you want to eat are hot dogs and candy bars."
general,general,what is there to eat?,i don't know. look in the fridge.
general,general,i don't know. look in the fridge.,i think i'll make a sandwich.
general,general,i think i'll make a sandwich.,what kind?
general,general,what kind?,a ham sandwich.
general,general,a ham sandwich.,the bread is in the cabinet.
general,general,the bread is in the cabinet.,where's the mustard?
general,general,where's the mustard?,"it's in the fridge, i think."
general,general,"it's in the fridge, i think.","oh, yes, here it is. do you want a sandwich?"
general,general,"oh, yes, here it is. do you want a sandwich?","yes, that sounds nice."
general,general,"yes, that sounds nice.",how about some potato chips?
general,general,how about some potato chips?,"yes. and a pickle, if we have any."
general,general,"it's time for your bath, young lady.","but, mom, i'm not dirty."
general,general,"but, mom, i'm not dirty.",you need a bath every day.
general,general,you need a bath every day.,why?
general,general,why?,because you don't want to smell bad.
general,general,because you don't want to smell bad.,i don't smell bad.
general,general,i don't smell bad.,that's what you think.
general,general,that's what you think.,"if i smelled bad, i could smell me."
general,general,"if i smelled bad, i could smell me.",i can smell you.
general,general,i can smell you.,"i can smell you, too."
general,general,"i can smell you, too.",that's my perfume.
general,general,that's my perfume.,when can i wear perfume?
general,general,something's wrong with my computer.,exactly what?
general,general,exactly what?,all i get is a black screen.
general,general,all i get is a black screen.,what's the matter?
general,general,what's the matter?,"i think i know, because this happened before."
general,general,"i think i know, because this happened before.",what happened before?
general,general,what happened before?,my hard drive crashed.
general,general,my hard drive crashed.,"oh, no. that's bad news."
general,general,"oh, no. that's bad news.","it sure is, but i'm going to call hp first, just to make sure."
general,general,"it sure is, but i'm going to call hp first, just to make sure.",will you lose all your files?
general,general,will you lose all your files?,"no, i always back up my files."
general,general,"no, i always back up my files.",you're smart.
general,general,i called hp about my computer.,what did they say?
general,general,what did they say?,they said i need a new hard drive.
general,general,they said i need a new hard drive.,that's too bad. how much is a new one?
general,general,that's too bad. how much is a new one?,"it's not too much, only about $85."
general,general,"it's not too much, only about $85.",plus installation?
general,general,plus installation?,"no, my hard drive is easy to remove and replace."
general,general,"no, my hard drive is easy to remove and replace.",really?
general,general,really?,"yes, it's just a couple of screws."
general,general,"yes, it's just a couple of screws.",that's nice.
general,general,that's nice.,it's a lot better than paying someone $60.
general,general,it's a lot better than paying someone $60.,"if my hard drive crashes, i'll just call you."
general,general,what's your email address?,it's bluedog123.
general,general,it's bluedog123.,bluedog123. are you sure that's all?
general,general,bluedog123. are you sure that's all?,yes.
general,general,yes.,no. that's incomplete.
general,general,no. that's incomplete.,what do you mean?
general,general,what do you mean?,what's your mailing address?
general,general,what's your mailing address?,"456 cherry drive, pasadena, ca 91170."
general,general,"456 cherry drive, pasadena, ca 91170.",that's correct.
general,general,that's correct.,so what's the problem?
general,general,so what's the problem?,"bluedog123 is just the street. you have to give me the city, state, and zip code."
general,general,"bluedog123 is just the street. you have to give me the city, state, and zip code.","oh, i get it. my email address is bluedog123@yahoo.com."
general,general,i'm going to take a nap.,you should unplug the phone.
general,general,you should unplug the phone.,that's a good idea.
general,general,that's a good idea.,do you want me to wake you in an hour?
general,general,do you want me to wake you in an hour?,"no, thanks. just let me sleep until i wake up."
general,general,"no, thanks. just let me sleep until i wake up.",i'll start dinner at 6:00.
general,general,i'll start dinner at 6:00.,okay. i think i'll be awake by then.
general,general,okay. i think i'll be awake by then.,"if not, your nose will wake you up."
general,general,"if not, your nose will wake you up.",you mean i will smell the food cooking?
general,general,you mean i will smell the food cooking?,you might even dream about dinner.
general,general,you might even dream about dinner.,i don't think i'm going to dream about anything. i'm really tired.
general,general,i don't think i'm going to dream about anything. i'm really tired.,have a nice nap.
general,general,that was a nice funeral.,"yes, dad, it was."
general,general,"yes, dad, it was.",the son gave a nice speech about his father.
general,general,the son gave a nice speech about his father.,"it was long, too."
general,general,"it was long, too.",i think it was about 45 minutes long.
general,general,i think it was about 45 minutes long.,but it went by fast. it was interesting.
general,general,but it went by fast. it was interesting.,i liked it.
general,general,i liked it.,"i'll give you a speech like that, too."
general,general,"i'll give you a speech like that, too.",do you think anyone will come to my funeral?
general,general,do you think anyone will come to my funeral?,of course.
general,general,of course.,i think only the family will be there.
general,general,i think only the family will be there.,"you have lots of friends. they will be there, too!"
general,general,yikes! what was that noise?,i had to blow my nose.
general,general,i had to blow my nose.,did you have to blow right next to the phone?
general,general,did you have to blow right next to the phone?,did you hear that?
general,general,did you hear that?,of course i heard that. i thought a plane had crashed into your house.
general,general,of course i heard that. i thought a plane had crashed into your house.,it wasn't that loud.
general,general,it wasn't that loud.,"i will blow my nose sometime for you, and you'll see."
general,general,"i will blow my nose sometime for you, and you'll see.",okay. i'll take your word for it.
general,general,okay. i'll take your word for it.,i thought you had an elephant in your house.
general,general,i thought you had an elephant in your house.,you're funny.
general,general,you're funny.,what did you say? i think i've gone deaf.
general,general,what did you say? i think i've gone deaf.,i'm going into the bathroom to blow my nose. i'll be right back.
general,general,i have lots of friends.,really? how many do you have?
general,general,really? how many do you have?,"i don't know, maybe one hundred."
general,general,"i don't know, maybe one hundred.",that is a lot of friends. do you have a best friend?
general,general,that is a lot of friends. do you have a best friend?,of course. i have lots of best friends.
general,general,of course. i have lots of best friends.,how many best friends do you have?
general,general,how many best friends do you have?,i think about twenty-five.
general,general,i think about twenty-five.,hmm. i have only one best friend.
general,general,hmm. i have only one best friend.,i feel sorry for you.
general,general,i feel sorry for you.,i have only a few friends.
general,general,i have only a few friends.,you must be lonely. i will share my friends with you.
general,general,you must be lonely. i will share my friends with you.,that's very nice of you.
general,general,don't you ever cheat on me.,why would i do that?
general,general,why would i do that?,because men like to cheat.
general,general,because men like to cheat.,"some men do, but not me."
general,general,"some men do, but not me.",i'm watching you.
general,general,i'm watching you.,i'm an open book. watch me all you want.
general,general,i'm an open book. watch me all you want.,"if i catch you, you'll be sorry."
general,general,"if i catch you, you'll be sorry.","you won't catch me, because i love you. i'm not a cheater."
general,general,"you won't catch me, because i love you. i'm not a cheater.",i will poke your eyes out.
general,general,i will poke your eyes out.,i don't want any other woman.
general,general,i don't want any other woman.,"i will chop your toes off, one by one."
general,general,"i will chop your toes off, one by one.","honey, please. you're the only woman for me, forever. i swear it."
general,general,i hate to go outside.,me too.
general,general,me too.,why do you hate to go outside?
general,general,why do you hate to go outside?,i meet too many jerks.
general,general,i meet too many jerks.,i agree.
general,general,i agree.,this city is full of jerks.
general,general,this city is full of jerks.,rude people are everywhere.
general,general,rude people are everywhere.,but what can you do?
general,general,but what can you do?,you can yell at them.
general,general,you can yell at them.,and they will yell back at you.
general,general,and they will yell back at you.,yelling doesn't do any good.
general,general,yelling doesn't do any good.,no. the best thing to do is just stay home.
general,general,will you look at this form?,are you having problems with it?
general,general,are you having problems with it?,i don't understand some things.
general,general,i don't understand some things.,let me help you.
general,general,let me help you.,"what does ""mi"" mean?"
general,general,"what does ""mi"" mean?",mi stands for middle initial.
general,general,mi stands for middle initial.,"what does ""mm/dd/yy"" mean?"
general,general,"what does ""mm/dd/yy"" mean?",that means month/day/year. use numbers.
general,general,that means month/day/year. use numbers.,i don't understand.
general,general,i don't understand.,"for example, if your birth date is january 12, 1987, write 01/12/87."
general,general,"for example, if your birth date is january 12, 1987, write 01/12/87.",oh. that's simple enough.
general,general,oh. that's simple enough.,"always print clearly, and fill in the bubbles completely."
general,general,let's go to the animal shelter.,what do you want to do?
general,general,what do you want to do?,i want to get a puppy for my son.
general,general,i want to get a puppy for my son.,that will make him so happy.
general,general,that will make him so happy.,i'll get him one of those little dogs.
general,general,i'll get him one of those little dogs.,one that won't grow up too big.
general,general,one that won't grow up too big.,and eat too much.
general,general,and eat too much.,do you know which one he would like?
general,general,do you know which one he would like?,"oh, yes, i took him there yesterday. he showed me one that he really liked."
general,general,"oh, yes, i took him there yesterday. he showed me one that he really liked.",i bet you had to drag him away.
general,general,i bet you had to drag him away.,he wanted to take it home yesterday.
general,general,he wanted to take it home yesterday.,i wonder what he'll name it.
general,general,what's the weather like?,i don't know. i just woke up.
general,general,i don't know. i just woke up.,why don't you look outside?
general,general,why don't you look outside?,okay. it looks like rain.
general,general,okay. it looks like rain.,why do you say that?
general,general,why do you say that?,the sky is gray.
general,general,the sky is gray.,is it raining right now?
general,general,is it raining right now?,no.
general,general,no.,how do you know?
general,general,how do you know?,the street isn't wet.
general,general,the street isn't wet.,i have to go shopping today.
general,general,i have to go shopping today.,you'd better take an umbrella.
general,general,i can't believe how hot it is.,it's not even noon yet.
general,general,it's not even noon yet.,that means it will get hotter.
general,general,that means it will get hotter.,i am dying from the heat.
general,general,i am dying from the heat.,turn on the air conditioner.
general,general,turn on the air conditioner.,it doesn't work.
general,general,it doesn't work.,what happened?
general,general,what happened?,i don't know.
general,general,i don't know.,did you call the repairman?
general,general,did you call the repairman?,of course.
general,general,of course.,when is he coming?
general,general,when is he coming?,he's busy. he said next week.
general,general,i'll be glad when winter comes.,why is that?
general,general,why is that?,because i love the snow.
general,general,because i love the snow.,"yes, the snow is fun."
general,general,"yes, the snow is fun.",last year we made a big snowman.
general,general,last year we made a big snowman.,how big was it?
general,general,how big was it?,it was seven feet tall.
general,general,it was seven feet tall.,how long did it take?
general,general,how long did it take?,it took us all day.
general,general,it took us all day.,did you give him a nose?
general,general,did you give him a nose?,of course. we gave him a big carrot for a nose.
general,general,of course. we gave him a big carrot for a nose.,let me help you make one this year.
general,general,i'm going to the bank.,what do you need to do?
general,general,what do you need to do?,i need to withdraw some money.
general,general,i need to withdraw some money.,how are you going to do that?
general,general,how are you going to do that?,i'll just use the atm.
general,general,i'll just use the atm.,what's that?
general,general,what's that?,it's the automatic teller machine.
general,general,it's the automatic teller machine.,it gives you money?
general,general,it gives you money?,i just insert my debit card into the machine.
general,general,i just insert my debit card into the machine.,and it gives you money?
general,general,and it gives you money?,"well, it gives me money, but it's my own money."
general,general,"well, it gives me money, but it's my own money.",oh. what good is that? i thought it gave you free money.
general,general,did you put the blue bin out on the street?,"oh, no. i forgot."
general,general,"oh, no. i forgot.","well, you'd better take it out front."
general,general,"well, you'd better take it out front.",what time does the recycle truck come by?
general,general,what time does the recycle truck come by?,"it usually gets here at noon on tuesday, which is tomorrow."
general,general,"it usually gets here at noon on tuesday, which is tomorrow.",i'll just take it out to the street tomorrow morning.
general,general,i'll just take it out to the street tomorrow morning.,"oh, no, you don't."
general,general,"oh, no, you don't.",what do you mean?
general,general,what do you mean?,every morning you get up late and rush off to work late.
general,general,every morning you get up late and rush off to work late.,do you think i'll forget to do it?
general,general,do you think i'll forget to do it?,"you'll remember to do it, but you won't have time to do it."
general,general,"you'll remember to do it, but you won't have time to do it.","okay, i'll take it out front right now."
general,general,are you ready?,ready for what?
general,general,ready for what?,ready for the big switch.
general,general,ready for the big switch.,what are you talking about?
general,general,what are you talking about?,the nation is switching to digital tv.
general,general,the nation is switching to digital tv.,oh. of course i'm ready.
general,general,oh. of course i'm ready.,did you buy the converter?
general,general,did you buy the converter?,"no, i don't need a converter because i bought a digital tv."
general,general,"no, i don't need a converter because i bought a digital tv.",how much was that?
general,general,how much was that?,it was only about $120 for a 13-inch screen.
general,general,it was only about $120 for a 13-inch screen.,does it pick up any digital channels?
general,general,does it pick up any digital channels?,"oh, yes. i get six korean channels but nothing in english!"
general,general,people are funny.,they sure are.
general,general,they sure are.,did you hear about the pilot?
general,general,did you hear about the pilot?,the one that stole a small plane?
general,general,the one that stole a small plane?,"yes, he stole a plane in canada and flew into the u.s."
general,general,"yes, he stole a plane in canada and flew into the u.s.",did they catch him?
general,general,did they catch him?,"yes. after two u.s. fighter jets followed him for an hour, he landed on a highway."
general,general,"yes. after two u.s. fighter jets followed him for an hour, he landed on a highway.",did he crash?
general,general,did he crash?,"no, he just landed the plane and walked to a restaurant."
general,general,"no, he just landed the plane and walked to a restaurant.",did the cops find out why he flew into the u.s.?
general,general,did the cops find out why he flew into the u.s.?,his life sucked. he was hoping a fighter jet would shoot him down.
general,general,his life sucked. he was hoping a fighter jet would shoot him down.,poor guy.
general,general,the police need our help finding a robber.,how do you know?
general,general,how do you know?,the tv news is reporting a bank robbery.
general,general,the tv news is reporting a bank robbery.,do they know what the robber looks like?
general,general,do they know what the robber looks like?,"yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old."
general,general,"yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old.",what race is he?
general,general,what race is he?,they didn't say.
general,general,they didn't say.,the tv news doesn't tell us the race anymore.
general,general,the tv news doesn't tell us the race anymore.,of course not. that would be racist.
general,general,of course not. that would be racist.,but how can we identify someone if we don't know their race?
general,general,but how can we identify someone if we don't know their race?,don't ask me.
general,general,don't ask me.,"then they also shouldn't tell us if the robber is male or female, because that is sexist."
general,general,don't wipe your nose on your sleeve.,but i don't have a tissu.
general,general,but i don't have a tissu.,then go find a tissu in the bathroom.
general,general,then go find a tissu in the bathroom.,i didn't have time to get one from there.
general,general,i didn't have time to get one from there.,your sleeves are not tissus.
general,general,your sleeves are not tissus.,"but mom, all my friends use their sleeves."
general,general,"but mom, all my friends use their sleeves.",that doesn't make it right.
general,general,that doesn't make it right.,i saw dad wipe his nose on his sleeve yesterday.
general,general,i saw dad wipe his nose on his sleeve yesterday.,i will talk to your father about that.
general,general,i will talk to your father about that.,i bet dad did it all the time when he was my age.
general,general,i bet dad did it all the time when he was my age.,your daddy was a good little boy.
general,general,your daddy was a good little boy.,"how do you know? were you his mommy, too?"
general,general,i'm worried.,worried about what?
general,general,worried about what?,i'm getting married.
general,general,i'm getting married.,"you should be happy, not worried."
general,general,"you should be happy, not worried.","i am happy, but marriage is a lot of responsibility."
general,general,"i am happy, but marriage is a lot of responsibility.","yes, you have to take care of your wife."
general,general,"yes, you have to take care of your wife.",and i have to take care of our children.
general,general,and i have to take care of our children.,are you going to start a family?
general,general,are you going to start a family?,yes. we want to have a little boy and a little girl.
general,general,yes. we want to have a little boy and a little girl.,that sounds wonderful.
general,general,that sounds wonderful.,except we can't afford it!
general,general,except we can't afford it!,no wonder you're worried.
general,general,i don't get art.,or artists.
general,general,or artists.,they're in a different world.
general,general,they're in a different world.,i saw a painting of a jar that was full of pencils.
general,general,i saw a painting of a jar that was full of pencils.,the artist said the jar was both full and empty.
general,general,the artist said the jar was both full and empty.,but it was full of pencils! how could he say it was empty?
general,general,but it was full of pencils! how could he say it was empty?,artists see things differently.
general,general,artists see things differently.,did you ever see anything that picasso painted?
general,general,did you ever see anything that picasso painted?,of course! he's world famous.
general,general,of course! he's world famous.,did he ever take art lessons?
general,general,did he ever take art lessons?,i can't believe it. i drew paintings like that in third grade.
general,general,i can't believe it. i drew paintings like that in third grade.,where are they? maybe they are worth millions.
general,general,what's the point?,the point of what?
general,general,the point of what?,of living.
general,general,of living.,"who knows? you live, and then you die."
general,general,"who knows? you live, and then you die.",we must be here for some reason.
general,general,we must be here for some reason.,maybe we're here to have fun.
general,general,maybe we're here to have fun.,then why aren't i having fun?
general,general,then why aren't i having fun?,because you're thinking too much.
general,general,because you're thinking too much.,so i should stop thinking?
general,general,so i should stop thinking?,stop thinking about what the point is.
general,general,stop thinking about what the point is.,okay. i'll start thinking about having some fun.
general,general,okay. i'll start thinking about having some fun.,just be patient. fun doesn't come along every five minutes.
general,general,beer is a powerful drug.,so are cigarettes.
general,general,so are cigarettes.,which would you prefer?
general,general,which would you prefer?,what do you mean?
general,general,what do you mean?,"when you die and go to heaven, they will offer you beer or cigarettes."
general,general,"when you die and go to heaven, they will offer you beer or cigarettes.",i could pick only one or the other?
general,general,i could pick only one or the other?,"yes. nothing's perfect, not even in heaven."
general,general,"yes. nothing's perfect, not even in heaven.","boy, that's a tough one."
general,general,"boy, that's a tough one.","what's so tough about it? of course, i would pick cigarettes."
general,general,"what's so tough about it? of course, i would pick cigarettes.",but cigarettes taste much better when you have a cold beer.
general,general,but cigarettes taste much better when you have a cold beer.,"well, you can't have everything."
general,general,"well, you can't have everything.",i don't think i want to go to your heaven.
general,general,my pants have a hole in the front pocket.,you shouldn't carry pens in your pocket.
general,general,you shouldn't carry pens in your pocket.,yesterday a pen fell through my pants onto my shoe.
general,general,yesterday a pen fell through my pants onto my shoe.,lucky for you it wasn't a sharp knife.
general,general,lucky for you it wasn't a sharp knife.,who carries a sharp knife in their pocket?
general,general,who carries a sharp knife in their pocket?,"criminals, of course."
general,general,"criminals, of course.","anyway, i have to fix the hole."
general,general,"anyway, i have to fix the hole.",you can sew it up or use an iron-on patch.
general,general,you can sew it up or use an iron-on patch.,tell me about this patch.
general,general,tell me about this patch.,the patch has glue. the hot iron melts the glue so the patch sticks on.
general,general,the patch has glue. the hot iron melts the glue so the patch sticks on.,that sounds a lot easier than sewing.
general,general,that sounds a lot easier than sewing.,"it is. but after about ten washings, the glue washes off."
general,general,do you know any good jokes?,i can't remember jokes.
general,general,i can't remember jokes.,neither can i.
general,general,neither can i.,they go in one ear and out the other.
general,general,they go in one ear and out the other.,who makes up all these jokes?
general,general,who makes up all these jokes?,who knows? but there must be a hundred new ones every day.
general,general,who knows? but there must be a hundred new ones every day.,"yes, just in english alone."
general,general,"yes, just in english alone.",i wonder if every language has jokes.
general,general,i wonder if every language has jokes.,of course! people everywhere like good jokes.
general,general,of course! people everywhere like good jokes.,what do you think people joke about the most?
general,general,what do you think people joke about the most?,i think most jokes are about women.
general,general,i think most jokes are about women.,"oh, really? i think most jokes are about men!"
general,general,you're very lucky.,why do you say that?
general,general,why do you say that?,you speak two languages.
general,general,you speak two languages.,"well, my english isn't perfect."
general,general,"well, my english isn't perfect.",no one speaks perfect english.
general,general,no one speaks perfect english.,maybe i will be the first!
general,general,maybe i will be the first!,i've been thinking about learning spanish.
general,general,i've been thinking about learning spanish.,spanish is easy. i'll be happy to teach you.
general,general,spanish is easy. i'll be happy to teach you.,how long will it take me to learn?
general,general,how long will it take me to learn?,i think it will only take you a year or two.
general,general,i think it will only take you a year or two.,how soon can we begin?
general,general,how soon can we begin?,ahora! that means right now.
general,general,do you know what today is?,"yes, it's april 22."
general,general,"yes, it's april 22.",it's more than just a date.
general,general,it's more than just a date.,is it your birthday or anniversary?
general,general,is it your birthday or anniversary?,"no, it's earth day."
general,general,"no, it's earth day.",what's that?
general,general,what's that?,it's a yearly reminder to take care of our planet.
general,general,it's a yearly reminder to take care of our planet.,"oh, you mean like reuse things and recycle stuff?"
general,general,"oh, you mean like reuse things and recycle stuff?","yes. we need to think green, save water, and stop using plastic bags."
general,general,"yes. we need to think green, save water, and stop using plastic bags.",how about if i take shorter showers?
general,general,how about if i take shorter showers?,"that's a good idea, because showers waste a lot of water."
general,general,"that's a good idea, because showers waste a lot of water.",from now on i'll spend only 20 minutes in the shower.
general,general,poetry sucks.,i don't know anyone who likes it.
general,general,i don't know anyone who likes it.,"some of it is okay, i guess."
general,general,"some of it is okay, i guess.","yes, the poems that rhyme and are easy to remember."
general,general,"yes, the poems that rhyme and are easy to remember.","like ""one, two, buckle my shoe."""
general,general,"like ""one, two, buckle my shoe.""",but people still write poems.
general,general,but people still write poems.,no one makes any money at it.
general,general,no one makes any money at it.,shakespeare was a poet.
general,general,shakespeare was a poet.,did he get rich from his poetry?
general,general,did he get rich from his poetry?,probably not.
general,general,probably not.,poems are a little bit like songs.
general,general,poems are a little bit like songs.,"yes, but songs have music. without music, songs would suck, too."
general,general,how smart are you?,i don't know. i think i'm average.
general,general,i don't know. i think i'm average.,did you ever take an iq test?
general,general,did you ever take an iq test?,"no, i never did. all i know is that i got a's and b's in school."
general,general,"no, i never did. all i know is that i got a's and b's in school.",i wish i was really smart.
general,general,i wish i was really smart.,don't be ridiculous.
general,general,don't be ridiculous.,what do you mean?
general,general,what do you mean?,"if you're going to make a wish, wish that you were really rich or famous."
general,general,"if you're going to make a wish, wish that you were really rich or famous.",don't you ever wonder what it's like to be super-smart?
general,general,don't you ever wonder what it's like to be super-smart?,it must be very lonely.
general,general,it must be very lonely.,why's that?
general,general,why's that?,"because if you're super-smart, no one understands what you're saying."
general,general,i missed the tv news last night. what was on?,nothing that would pass as news.
general,general,nothing that would pass as news.,what's the weather going to be like this weekend?
general,general,what's the weather going to be like this weekend?,"i don't know. whenever the weather comes on, i switch channels."
general,general,"i don't know. whenever the weather comes on, i switch channels.",what was the lead story on the news?
general,general,what was the lead story on the news?,some actress was in court for driving without a license.
general,general,some actress was in court for driving without a license.,what was the second story?
general,general,what was the second story?,some actor married a woman young enough to be his daughter.
general,general,some actor married a woman young enough to be his daughter.,what was the third story?
general,general,what was the third story?,a bull chased a man in a supermarket.
general,general,a bull chased a man in a supermarket.,wasn't there anything about octo-mom?
general,general,wasn't there anything about octo-mom?,of course. she's going to hire a nanny for her eight infants.
general,general,what are you going to do about your death?,"well, mostly i'll try to avoid it."
general,general,"well, mostly i'll try to avoid it.","i mean, are you going to get buried or cremated?"
general,general,"i mean, are you going to get buried or cremated?",my wife and i will be cremated.
general,general,my wife and i will be cremated.,are you going to be buried next to each other?
general,general,are you going to be buried next to each other?,"oh, no. our ashes will be shaken into the ocean."
general,general,"oh, no. our ashes will be shaken into the ocean.",you're not going to be buried?
general,general,you're not going to be buried?,a coffin costs too much and takes up too much space.
general,general,a coffin costs too much and takes up too much space.,"yes, but it will be in a cemetery where your children can visit you."
general,general,"yes, but it will be in a cemetery where your children can visit you.",children seldom visit their parents in a cemetery.
general,general,children seldom visit their parents in a cemetery.,"that's true. a cemetery is for dead people, not living people."
general,general,"that's true. a cemetery is for dead people, not living people.",we figure our kids can visit us whenever they go to the beach.
general,general,did you wipe your feet?,"yes, of course i wiped my feet."
general,general,"yes, of course i wiped my feet.",then why is there mud on the carpet?
general,general,then why is there mud on the carpet?,i don't know. it's not my mud.
general,general,i don't know. it's not my mud.,"well, someone brought it into the house."
general,general,"well, someone brought it into the house.",look at the bottom of my shoesthey're clean.
general,general,look at the bottom of my shoesthey're clean.,of course they're clean. you left all the mud on the carpet.
general,general,of course they're clean. you left all the mud on the carpet.,"okay, i'll get the vacuum cleaner."
general,general,"okay, i'll get the vacuum cleaner.",don't vacuum it now.
general,general,don't vacuum it now.,don't you want me to clean up the mud?
general,general,don't you want me to clean up the mud?,wait till it dries. it will be easier to vacuum.
general,general,wait till it dries. it will be easier to vacuum.,next time i will be more careful.
general,general,what are you getting for your mom?,what are you talking about?
general,general,what are you talking about?,sunday is mother's day.
general,general,sunday is mother's day.,this sunday?
general,general,this sunday?,of course. it's all over the news.
general,general,of course. it's all over the news.,i thought it was next sunday.
general,general,i thought it was next sunday.,"well, you'd better get her something."
general,general,"well, you'd better get her something.",i'll get her a nice card.
general,general,i'll get her a nice card.,is that it?
general,general,is that it?,yes. that's all i ever give her.
general,general,yes. that's all i ever give her.,"she raised you, and all you ever give her is a card?"
general,general,"she raised you, and all you ever give her is a card?",it's okay. she knows that i love her.
general,general,i don't like our flag.,what's the matter with it?
general,general,what's the matter with it?,it's too much like other flags.
general,general,it's too much like other flags.,"yes, a lot of flags have stripes."
general,general,"yes, a lot of flags have stripes.",a flag should be pretty.
general,general,a flag should be pretty.,what should our flag look like?
general,general,what should our flag look like?,it should have a pretty woman on it.
general,general,it should have a pretty woman on it.,that's ridiculous!
general,general,that's ridiculous!,you don't like pretty women?
general,general,you don't like pretty women?,of course i do. but not on our flag!
general,general,of course i do. but not on our flag!,every nation should have a pretty woman on their flag.
general,general,every nation should have a pretty woman on their flag.,you can't go to war carrying a flag with a woman on it!
general,general,i had a busy morning.,what did you do?
general,general,what did you do?,i watered all the plants.
general,general,i watered all the plants.,you have a lot of plants.
general,general,you have a lot of plants.,then i did my laundry.
general,general,then i did my laundry.,that takes some time.
general,general,that takes some time.,i took the dog for a walk.
general,general,i took the dog for a walk.,i'll bet he enjoyed his walk.
general,general,i'll bet he enjoyed his walk.,i vacuumed the entire house.
general,general,i vacuumed the entire house.,that's a lot of work.
general,general,that's a lot of work.,and then i made lunch.
general,general,and then i made lunch.,i'll bet you were hungry!
general,general,i don't have long distance service with my home phone.,so how do you make long distance calls?
general,general,so how do you make long distance calls?,i use a calling card.
general,general,i use a calling card.,where do you get that?
general,general,where do you get that?,i buy it at the dollar store.
general,general,i buy it at the dollar store.,how much is it?
general,general,how much is it?,it's one dollar for 100 minutes.
general,general,it's one dollar for 100 minutes.,that's only a penny a minute!
general,general,that's only a penny a minute!,it's a great price. but you have to dial a lot of numbers.
general,general,it's a great price. but you have to dial a lot of numbers.,how many?
general,general,how many?,"first you dial seven numbers, then ten numbers, then ten more numbers."
general,general,"first you dial seven numbers, then ten numbers, then ten more numbers.",yikes. i think i'll keep my long distance service.
general,general,do you go to college?,"yes, i do."
general,general,"yes, i do.",what college do you go to?
